state,zipcode,total_pop,total_income,country,avg_income
AK,0,345220,25354974,USA,73445.8432304038
AK,99501,7690,612242,USA,79615.34460338102
AK,99502,11860,1000685,USA,84374.7892074199
AK,99503,7510,462394,USA,61570.43941411452
AK,99504,19440,1176109,USA,60499.4341563786
AK,99505,2280,95855,USA,42041.666666666664
AK,99506,2950,123224,USA,41770.84745762712
AK,99507,18470,1505759,USA,81524.5804006497
AK,99508,15170,881183,USA,58087.211601845745
AK,99515,11140,1081486,USA,97081.32854578097
AK,99516,9780,1525045,USA,155935.07157464212
AK,99517,8060,670063,USA,83134.36724565757
AK,99518,5190,360329,USA,69427.55298651253
AK,99540,160,12179,USA,76118.75
AK,99556,1080,63140,USA,58462.96296296296
AK,99559,3090,190402,USA,61618.77022653721
AK,99567,4160,350830,USA,84334.13461538461
AK,99568,130,8460,USA,65076.92307692308
AK,99572,220,14656,USA,66618.18181818182
AK,99573,440,22863,USA,51961.36363636363
AK,99577,12770,1201986,USA,94125.7635082224
AK,99586,230,11199,USA,48691.30434782609
AK,99588,660,40654,USA,61596.969696969696
AK,99603,5550,391997,USA,70630.09009009009
AK,99610,1080,76005,USA,70375
AK,99611,6450,454648,USA,70488.06201550388
AK,99615,6250,400538,USA,64086.08
AK,99631,140,9912,USA,70800
AK,99639,610,37053,USA,60742.62295081967
AK,99645,13180,993654,USA,75391.04704097117
AK,99654,15060,1106246,USA,73455.90969455511
AK,99664,2260,146233,USA,64704.86725663717
AK,99669,7680,612402,USA,79739.84375
AK,99672,1630,118334,USA,72597.54601226994
AK,99674,690,39601,USA,57392.75362318841
AK,99676,960,55877,USA,58205.208333333336
AK,99686,2000,170342,USA,85171
AK,99688,1320,78000,USA,59090.90909090909
AK,99701,8110,471980,USA,58197.28729963009
AK,99702,1290,57606,USA,44655.813953488374
AK,99703,3320,132232,USA,39828.9156626506
AK,99705,9040,629505,USA,69635.50884955752
AK,99709,10920,849069,USA,77753.57142857143
AK,99712,4420,367212,USA,83079.63800904977
AK,99714,450,30629,USA,68064.44444444444
AK,99737,1840,122002,USA,66305.4347826087
AK,99743,600,45476,USA,75793.33333333333
AK,99760,320,20087,USA,62771.875
AK,99780,800,42210,USA,52762.5
AK,99801,12210,934332,USA,76521.86732186732
AK,99824,1130,90831,USA,80381.41592920353
AK,99827,1270,88825,USA,69940.94488188977
AK,99833,1700,114471,USA,67335.88235294117
AK,99835,4470,316394,USA,70781.65548098434
AK,99901,6280,437711,USA,69699.20382165605
AK,99999,69840,4502817,USA,64473.32474226804
AL,0,2036290,125478058,USA,61620.917452818605
AL,35004,5200,302269,USA,58128.653846153844
